Smiles                                                       G4_Cv      Exp_Cv     Dev       
CCC(C)C#C                                                    117.62     121.30     -3.68     
CCC(C)C(C)(C)C                                               177.75     176.70     1.05      
CCC(C)C(C)=C                                                 145.21     147.20     -1.99     
CCC(C)C(C)=O                                                 138.42     132.69     5.73      
CCC(C)C(C)C                                                  153.26     151.90     1.36      
CCC(C)C=C                                                    122.68     136.20     -13.52    
CCC(C)C=O                                                    115.07     115.30     -0.23     
CCC(C)CBr                                                    123.03     125.69     -2.66     
CCC(C)CC                                                     130.46     132.30     -1.84     
CCC(C)CF                                                     117.13     120.10     -2.97     
CCC(C)CO                                                     124.77     123.30     1.47      
CCC(C)N                                                      105.75     107.69     -1.94     
CCC(C)O                                                      103.11     104.69     -1.58     
CCC(C)OC                                                     123.87     127.40     -3.53     
CCC(C)S                                                      109.36     109.69     -0.33     
CCC(C=C)C(C)C                                                167.97     169.70     -1.73     
CCC(CC)(CC)CC                                                199.74     203.69     -3.95     
CCC(CC)=C(C)C                                                168.46     166.50     1.96      
CCC(CC)=CC                                                   144.80     143.50     1.30      
CCC(CC)C#C                                                   140.06     144.20     -4.14     
CCC(CC)C(C)(C)C                                              199.45     192.69     6.76      
CCC(CC)C(C)=C                                                167.67     170.10     -2.43     
CCC(CC)C(C)C                                                 175.86     183.70     -7.84     
CCC(CC)C=C                                                   145.25     145.40     -0.15     
CCC(CC)CC                                                    152.55     157.69     -5.14     
CCC(CC)CO                                                    146.79     146.30     0.49      
CCC(CO)(CO)CO                                                171.20     173.69     -2.49     
CCC(N)CC                                                     128.52     132.69     -4.17     
CCC(N)CO                                                     119.90     117.50     2.40      
CCC(O)(CC)CC                                                 172.34     170.40     1.94      
CCC(O)=O                                                     82.94      81.00      1.94      
CCC(O)CC                                                     125.43     127.30     -1.87     
CCC(O)CO                                                     118.24     115.69     2.55      
CCC=C                                                        77.09      77.30      -0.21     
CCC=C(C)C                                                    122.52     119.69     2.83      
CCC=O                                                        69.37      72.30      -2.93     
CCCBr                                                        77.27      78.00      -0.73     
CCCC                                                         85.20      90.20      -5.00     
CCCC#C                                                       94.42      99.30      -4.88     
CCCC#N                                                       85.47      90.20      -4.73     
CCCC(C)(C)C                                                  154.89     157.90     -3.01     
CCCC(C)=C                                                    121.64     127.69     -6.05     
CCCC(C)=O                                                    115.44     115.10     0.34      
CCCC(C)Br                                                    123.36     125.90     -2.54     
CCCC(C)C                                                     130.36     133.50     -3.14     
CCCC(C)O                                                     125.41     123.69     1.73      
CCCC(C)S                                                     131.28     133.30     -2.02     
CCCC(O)=O                                                    104.71     107.10     -2.39     
CCCC=C                                                       99.43      102.70     -3.27     
CCCC=O                                                       91.56      96.00      -4.44     
CCCCBr                                                       99.59      102.60     -3.01     
CCCCC                                                        107.51     111.60     -4.09     
CCCCCl                                                       97.78      101.60     -3.82     
CCCCN                                                        105.22     111.20     -5.98     
CCCCO                                                        101.83     99.60      2.23      
CCCCS                                                        108.11     111.10     -2.99     
CCCCl                                                        75.47      76.00      -0.53     
CCCF                                                         71.47      73.80      -2.33     
CCCN                                                         82.86      84.30      -1.44     
CCCO                                                         79.59      77.20      2.39      
CCCOC                                                        99.66      104.20     -4.54     
CCCS                                                         86.13      86.60      -0.47     
CCC[C@@H](C)O                                                125.41     124.40     1.01      
CCC[C@H](C)O                                                 125.41     124.40     1.01      
CCCl                                                         52.51      54.50      -1.99     
CCF                                                          48.71      51.00      -2.29     
CCN                                                          60.46      63.50      -3.04     
CCN(C)CC                                                     125.72     128.20     -2.48     
CCN(CC)CC                                                    149.04     155.50     -6.46     
CCN(O)CC                                                     122.41     115.69     6.72      
CCNC                                                         81.50      83.70      -2.20     
CCNCC                                                        104.07     109.30     -5.23     
CCO                                                          57.55      57.00      0.55      
CCOC                                                         77.70      84.70      -7.00     
CCOC(C)(C)C                                                  149.59     148.70     0.89      
CCOC(C)=O                                                    107.05     107.40     -0.35     
CCOC=C                                                       91.92      89.50      2.42      
CCOC=O                                                       81.83      80.90      0.93      
CCOCC                                                        100.51     110.30     -9.79     
CCON=O                                                       81.57      69.60      11.97     
CCOO                                                         76.09      74.33      1.76      
CCS                                                          63.69      64.60      -0.91     
CCSC                                                         87.17      86.80      0.37      
CCSCC                                                        109.61     108.40     1.21      
CC[C@@H](C)CBr                                               123.03     125.90     -2.87     
CC[C@@H](C)Cl                                                99.21      103.80     -4.59     
CC[C@@H](C)O                                                 103.11     105.30     -2.19     
CC[C@H](C)CBr                                                123.03     128.00     -4.97     
CC[C@H](C)N                                                  105.75     107.70     -1.95     
CC[C@H](C)O                                                  103.11     105.30     -2.19     
CC[C@H](C)S                                                  109.36     109.90     -0.54     
CC[CH]=[C]=[CH2]                                             92.50      92.50      -0.00     
CC[C](C)=[C]=[CH2]                                           116.07     114.90     1.17      
CC[S](Cl)(=O)=O                                              103.98     95.69      8.29      
CC\C(C)=C/C                                                  122.82     121.20     1.62      
CC\C(C)=C\C                                                  122.82     118.30     4.52      
CC\C=C/C                                                     99.44      94.10      5.34      
CC\C=C/Cl                                                    90.24      87.69      2.55      
CC\C=C\C                                                     99.44      102.00     -2.56     
CCl                                                          32.35      32.60      -0.25     
CF                                                           28.73      29.10      -0.37     
CN                                                           39.71      42.50      -2.79     
CN(C)C                                                       78.93      83.50      -4.57     
CN(C)C(C)=O                                                  110.59     101.90     8.69      
CN(C)C=O                                                     86.15      86.40      -0.25     
CN(C)CCO                                                     116.63     117.50     -0.87     
CN=C=O                                                       55.65      46.69      8.97      
CNC                                                          58.07      62.30      -4.23     
CNC(C)=O                                                     90.52      67.70      22.82     
CNC(N)=O                                                     87.69      75.60      12.09     
CNC=O                                                        65.94      55.20      10.74     
CO                                                           36.60      35.80      0.80      
COC                                                          54.06      57.00      -2.94     
COC(=O)C(C)=C                                                120.64     107.70     12.94     
COC(=O)C(C)C                                                 129.31     118.69     10.62     
COC(=O)C(C)O                                                 124.09     116.69     7.41      
COC(=O)C=C                                                   97.19      91.00      6.19      
COC(=O)CCl                                                   97.08      90.50      6.58      
COC(=O)OC                                                    97.49      91.50      5.99      
COC(C)(C)C                                                   126.67     125.20     1.47      
COC(C)=O                                                     84.38      77.30      7.08      
COC(C)C                                                      101.46     104.40     -2.94     
COC(Cl)=O                                                    74.78      73.69      1.09      
COC=C                                                        68.87      68.80      0.07      
COC=O                                                        60.88      57.40      3.48      
COCC(C)C                                                     122.95     122.69     0.26      
COCC(C)O                                                     116.33     113.69     2.65      
COCCO                                                        92.52      91.50      1.02      
COCOC                                                        91.63      83.20      8.43      
CON=O                                                        58.90      54.90      4.00      
COO                                                          53.18      54.69      -1.50     
COOC                                                         65.41      72.69      -7.27     
CS                                                           42.69      42.00      0.69      
CSC                                                          63.88      65.80      -1.92     
CSC#N                                                        64.63      64.40      0.23      
CSC(C)C                                                      110.36     110.10     0.26      
CSSC                                                         88.62      85.90      2.72      
C[C@@H](O)CCO                                                116.62     114.60     2.02      
C[C@@H](O)CN                                                 100.41     97.70      2.71      
C[C@@H](O)CO                                                 95.30      91.40      3.90      
C[C@@H](O)[C@@H](C)O                                         118.63     114.60     4.03      
C[C@@H](O)[C@H](C)O                                          118.63     114.60     4.03      
C[C@H](O)CCO                                                 116.62     114.60     2.02      
C[C@H](O)CO                                                  95.30      91.40      3.90      
C[C@H](O)[C@H](C)O                                           118.63     114.60     4.03      
C[CH]=[C]=[CH2]                                              70.67      71.30      -0.63     
C[CH]=[C]=[CH]C                                              92.28      94.20      -1.92     
