Smiles                                                       TCIT_S0    Exp_S0     Dev       
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl                                   485.87     466.00     19.87     
ClC(Cl)c1ccccc1                                              390.51     386.00     4.51      
ClC/C=C/CCl                                                  387.00     393.00     -6.00     
ClC1=C(Cl)C(Cl)(Cl)C(=C1Cl)Cl                                434.84     456.00     -21.16    
ClCCCCCCCCCCCl                                               655.12     623.00     32.12     
ClCCCCCl                                                     403.92     389.00     14.92     
ClCCOCCCl                                                    436.42     423.00     13.42     
ClCc1ccccc1                                                  363.11     361.00     2.11      
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl                                 467.00     437.00     30.00     
Clc1cc(Cl)cc(Cl)c1                                           405.87     363.00     42.87     
Clc1ccc(Cl)c(Cl)c1                                           386.61     379.00     7.61      
Clc1ccc(Cl)cc1                                               386.36     337.00     49.36     
Clc1cccc(Cl)c1Cl                                             364.94     370.00     -5.06     
Clc1ccccc1                                                   317.91     314.00     3.91      
Clc1ccccc1Cl                                                 334.51     342.00     -7.49     
Cn1cccc1                                                     309.19     308.00     1.19      
FC(F)(F)c1ccccc1                                             384.46     373.00     11.46     
FC(F)=C(F)C(F)=C(F)F                                         414.01     373.00     41.01     
FC(F)=C(F)OC(F)(F)F                                          418.64     391.00     27.64     
Fc1c(F)c(F)c(F)c(F)c1F                                       398.51     382.00     16.51     
Fc1ccc(F)cc1                                                 353.04     314.00     39.04     
Fc1cccc(F)c1                                                 349.77     320.00     29.77     
Fc1ccccc1F                                                   328.24     321.00     7.24      
N#CC#CC#N                                                    281.01     290.11     -9.10     
N#CCCC#N                                                     340.97     327.00     13.97     
N#Cc1ccccc1                                                  330.39     321.00     9.39      
NC(=O)c1ccccc1                                               373.81     364.00     9.81      
NC(CCC(O)=O)C(O)=O                                           487.22     510.00     -22.78    
NC1CC1                                                       283.56     285.00     -1.44     
NCCCCCN                                                      438.75     451.00     -12.25    
NCCNCCN                                                      422.00     444.00     -22.00    
NCc1ccccc1                                                   360.46     359.00     1.46      
NNc1ccccc1                                                   349.33     351.00     -1.67     
N[C@@H](Cc1ccccc1)C(O)=O                                     479.85     488.00     -8.15     
Nc1ccc(Cl)cc1                                                347.36     356.00     -8.64     
Nc1ccc(N)cc1                                                 341.77     350.00     -8.23     
