Molecule                                                     Hf_0k           Hf_298k         Gf_298k         S0_298k         Cv_298k
CC(C)CC#CC(C)C                                                73.4826         30.1946         211.5959        488.6769        180.9571
CC(C)CC(=O)CC(C)C                                            -305.0983       -358.2885       -111.6720        503.2041        205.7062
CC(C)CC(C)(C)C                                               -173.6416       -226.7498        9.0825          431.0547        177.2461
CC(C)CC(C)=C                                                 -47.2593        -86.9283         77.5945         403.1277        144.8704
CC(C)CC(C)=O                                                 -252.3824       -287.1375       -133.3565        405.3161        138.5609
CC(C)CC(C)C                                                  -155.3182       -202.1634        0.8729          404.6328        153.1045
CC(C)CC(C)C=C                                                -53.4175        -99.1265         96.6401         434.7556        167.7780
CC(C)CC(C)O                                                  -298.1155       -340.4277       -148.2866        407.3354        148.2134
CC(C)CC(C)OC(C)=O                                            -501.4737       -549.9969       -315.1064        508.6935        197.9323
CC(C)CC(O)=O                                                 -469.4626       -501.1664       -353.7685        392.8849        127.8499
CC(C)CC(O)CC(C)C                                             -346.6761       -406.9936       -124.9052        514.9108        215.6432
CC(C)CC1CCCC1                                                -121.8751       -174.0249        70.4161         407.9210        169.9642
CC(C)CC=C                                                    -16.1807        -49.9528         82.8027         373.2559        122.2642
CC(C)CC=C(C)C                                                -66.6479        -111.6662        82.0137         441.7544        167.6983
CC(C)CC=O                                                    -205.3880       -234.5413       -111.9455        373.4917        114.6201
CC(C)CCBr                                                    -98.7572        -132.6096       -5.2994          396.5495        122.8040
CC(C)CCC#C                                                    128.9487        96.9080         221.8705        405.1336        139.5776
CC(C)CCC#N                                                    16.1619        -15.9925         117.8553        400.0574        130.6364
CC(C)CCC(C)(C)C                                              -195.2499       -254.1948        6.6821          483.4744        200.0533
CC(C)CCC(C)=C                                                -58.3453        -104.1802        86.4588         451.9535        166.8031
CC(C)CCC(C)=O                                                -265.6321       -306.4079       -127.3139        456.8357        160.6066
CC(C)CCC(C)C                                                 -167.5983       -220.5512        6.9045          459.1497        175.5268
CC(C)CCC=C                                                   -28.1882        -68.0952         91.2354         420.5427        144.5945
CC(C)CCCC(C)C                                                -182.2461       -241.2579        14.3890         501.0161        197.8361
CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C                   -507.8942       -693.5967        167.2884        1335.8573       669.3098
CC(C)CCCC=C                                                  -42.8360        -88.8019         98.7199         462.4091        166.9038
CC(C)CCCCC(C)C                                               -196.8938       -261.9646        21.8735         542.8825        220.1454
CC(C)CCCCCCCO                                                -338.7148       -405.3510       -106.3476        594.5974        236.2250
CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C                 -879.1046       -1023.5442      -330.8252        1253.2888       613.7132
CC(C)CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC(C)C                   -849.8091       -982.1309       -345.7941        1169.5560       569.0946
CC(C)CCCCCOC(=O)c1ccccc1C(=O)OCCCCCC(C)C                     -820.5135       -940.7175       -360.7631        1085.8232       524.4759
CC(C)CCCCO                                                   -294.7715       -343.2310       -128.8010        468.9982        169.2971
