Molecule                                                     Hf_0k           Hf_298k         Gf_298k         S0_298k         Cv_298k
Cc1occc1                                                     -60.8440        -77.5886        -12.8536         306.1976        83.3126
Cc1sc(C)c(C)c1                                                37.2468         9.0738          107.0780        396.9265        141.6964
Cc1sc(C)cc1                                                   76.2717         52.1453         120.3422        360.4804        116.8384
Cc1sccc1                                                      93.6921         78.1749         117.5737        320.6496        89.1486
Cc1sccc1C                                                     69.1998         44.1351         112.8079        358.8844        112.8252
Cl                                                           -90.2913        -90.4422        -93.3371         186.5893        20.7861
ClBr                                                          18.4227         17.0064         1.4095          239.9622        26.6269
ClC#C                                                         226.4934        227.3407        211.4855        241.5385        45.7353
ClC#CCl                                                       226.2687        229.1181        227.5795        239.7204        53.7717
ClC#N                                                         127.9949        128.9619        124.9654        226.4891        34.0619
ClC(=O)C(Cl)(Cl)Cl                                           -243.7347       -245.9611       -194.0757        386.1955        105.5698
ClC(=O)c1ccccc1                                              -87.3299        -105.9272       -44.4800         374.9050        117.9708
ClC(Cl)(Cl)Br                                                -44.5635        -47.4457        -23.1036         334.8261        77.7135
ClC(Cl)(Cl)C#N                                                89.6070         88.5698         120.7789        333.8751        86.2479
ClC(Cl)(Cl)C(Cl)(Cl)Cl                                       -159.9563       -162.7697       -79.2479         400.5866        131.2596
ClC(Cl)(Cl)C=O                                               -192.7539       -197.2686       -150.8691        358.3951        91.5367
ClC(Cl)(Cl)Cl                                                -96.7207        -98.7062        -56.7540         311.1917        75.7219
ClC(Cl)(Cl)c1ccccc1                                           29.3616         17.9215         106.7932        403.4231        146.0477
ClC(Cl)=C                                                     7.8995          1.9664          24.9210         288.2500        58.3918
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl                                    3.3217          3.9765          65.4947         485.8671        154.1460
ClC(Cl)=C(Cl)Cl                                              -24.8305        -25.6120         8.8668          341.9975        87.3274
ClC(Cl)=O                                                    -220.0601       -221.7316       -207.5773        283.9263        49.5552
ClC(Cl)C(Cl)(Cl)Cl                                           -157.1822       -162.7775       -90.8846         393.3900        113.0676
ClC(Cl)C(Cl)Cl                                               -148.8735       -157.1589       -90.7821         365.6912        95.6998
ClC(Cl)Cl                                                    -96.2806        -101.0244       -68.4856         296.5643        57.6889
ClC(Cl)c1ccccc1                                               27.9956         6.8300          85.7772         390.5096        126.1083
ClC/C=C/CCl                                                  -39.1519        -56.6683         18.1904         387.0028        103.0472
ClC/C=C/Cl                                                   -15.6449        -27.0954         21.5738         338.4228        80.7295
ClC1=C(Cl)C(Cl)(Cl)C(=C1Cl)Cl                                 48.0289         23.3736         101.8154        434.8448        154.1186
ClC1CCCCC1                                                   -130.1304       -163.7536       -2.8063          324.9000        111.8876
ClC=C                                                         29.5535         22.0069         38.4557         263.8704        44.7771
ClC=C(Cl)Cl                                                  -11.5413        -14.9865         10.6802         325.3535        72.3152
ClCBr                                                        -35.4630        -43.4758        -32.7605         288.1308        44.6349
ClCC#C                                                        186.3995        180.6161        190.5769        291.3714        62.9640
ClCC(Cl)(Cl)Cl                                               -148.1988       -156.3345       -90.5418         367.6502        97.9926
ClCC(Cl)=O                                                   -235.2433       -242.4864       -202.2130        332.7424        74.0225
ClCC(Cl)C=C                                                  -39.9800        -57.4738         21.0819         374.6029        104.7626
ClCC(Cl)CCl                                                  -169.1448       -186.0538       -97.2111         380.5599        102.2689
ClCC(Cl)Cl                                                   -136.7869       -147.5319       -88.3446         343.6048        80.7127
ClCC=C                                                        13.5594        -0.1778          44.4745         305.6955        67.7047
ClCC=O                                                       -166.4965       -175.5600       -141.0462        305.8601        60.3367
ClCCCCCCCCCCCl                                               -243.5329       -304.8413       -26.9186         655.1227        244.2128
ClCCCCCl                                                     -155.6462       -180.6012       -71.8254         403.9243        110.3569
ClCCCCl                                                      -139.6035       -158.8403       -74.0475         347.9434        87.8300
ClCCCl                                                       -118.8404       -131.5911       -76.2515         310.3101        66.3700
ClCCOCCCl                                                    -269.2636       -295.5590       -165.8863        436.4154        126.5408
ClCCl                                                        -86.2444        -93.0114        -66.5119         270.6205        42.8483
ClC\C=C/Cl                                                   -15.6449        -27.0954         21.5738         338.4228        80.7295
ClCc1ccccc1                                                   47.2651         20.7973         94.1396         363.1087        110.6752
ClCl                                                          2.3950          2.3794          4.1393          217.1772        25.5642
ClOCl                                                         79.5625         77.7660         94.9164         268.1372        39.6141
ClSCl                                                        -13.0273        -14.0544        -22.1899         282.4205        42.9111
ClSSCl                                                       -21.4369        -22.7614        -34.0531         325.0605        67.4076
Cl[S](Cl)(=O)=O                                              -339.7695       -345.5532       -302.0980        314.5446        70.0694
Cl[S](Cl)=O                                                  -187.7812       -190.6182       -176.3045        309.7054        58.5341
Cl\C=C/Cl                                                     7.6238          2.3392          24.5245         290.8301        58.7507
Cl\C=C\Cl                                                     7.6238          2.3392          24.5245         290.8301        58.7507
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl                                 -58.2706        -51.6577         18.9088         466.9986        168.0368
Clc1cc(Cl)cc(Cl)c1                                            5.0992         -1.9367          45.5332         405.8650        124.4690
Clc1ccc(Cl)c(Cl)c1                                            7.0445         -25.2852         27.9266         386.6065        120.7890
Clc1ccc(Cl)cc1                                                15.9605        -1.1269          38.3841         386.3596        104.7371
Clc1cccc(Cl)c1                                                40.2167         10.3564         54.2672         371.6026        104.8064
Clc1cccc(Cl)c1Cl                                             -7.9128         -19.0583         40.6148         364.9354        115.4062
Clc1ccccc1                                                    57.3310         39.9617         86.1064         317.9099        88.1455
Clc1ccccc1Cl                                                  26.0007         16.1030         71.0727         334.5107        104.6892
Cn1cccc1                                                      124.8087        104.1575        185.4603        309.1940        85.2490
F                                                            -273.6775       -273.6193       -275.6423        173.5213        20.7861
F/N=N/F                                                       81.2798         75.9152         113.1169        269.6270        44.9017
F/N=N\F                                                       81.2798         75.9152         113.1169        269.6270        44.9017
FBr                                                          -58.7964        -60.4209        -75.6816         228.6906        24.4011
FC#C                                                          103.0525        104.1851        94.8019         209.6873        41.8525
FC#CF                                                         3.1738          5.9191         -4.9870          250.8511        50.1735
FC#N                                                          7.7991          7.8935          1.8861          223.0900        32.0536
FC(C(F)(F)F)C(F)(F)F                                         -1546.3683      -1558.6811      -1446.3271       415.4945        131.8707
FC(Cl)(Cl)C(Cl)(Cl)Cl                                        -342.1164       -345.8496       -267.0214        406.1850        125.9292
FC(Cl)(Cl)C(F)(Cl)Cl                                         -523.8985       -528.4727       -448.3777        391.7920        120.8707
FC(Cl)(Cl)Cl                                                 -286.2716       -289.2241       -250.2568        311.0589        70.3497
FC(Cl)Br                                                     -221.6785       -228.2124       -212.0689        305.9804        54.9191
FC(Cl)C(F)(F)Cl                                              -706.1936       -714.1780       -642.8255        364.7706        98.2730
FC(Cl)C(F)(F)F                                               -916.3467       -925.2562       -853.6489        353.7720        92.6748
FC(Cl)Cl                                                     -277.6820       -283.1303       -252.8211        293.8987        52.9150
FC(F)(Cl)Br                                                  -431.5969       -436.4788       -413.8490        320.2813        66.8017
FC(F)(Cl)C(Cl)(Cl)Cl                                         -539.0502       -543.7032       -465.0245        396.5425        120.3770
FC(F)(Cl)C(F)(Cl)Cl                                          -720.8034       -726.2737       -648.0097        387.7893        115.4817
FC(F)(Cl)C(F)(F)Cl                                           -917.7976       -924.0905       -844.3654        372.7448        110.2978
FC(F)(Cl)Cl                                                  -489.4383       -493.3605       -454.7838        302.2250        64.6385
FC(F)(F)Br                                                   -643.9266       -649.8017       -623.7028        298.5016        60.9441
FC(F)(F)C#C                                                  -418.5119       -422.3125       -397.3014        302.8606        78.0389
FC(F)(F)C(=O)C(F)(F)F                                        -1411.1709      -1419.1005      -1324.6079       411.2460        129.7536
FC(F)(F)C(Cl)(Cl)Cl                                          -748.9119       -754.4663       -673.1770        377.6423        114.7161
FC(F)(F)C(Cl)Br                                              -695.0834       -704.4239       -646.6253        374.8006        98.6830
FC(F)(F)C(Cl)Cl                                              -745.3843       -753.6864       -681.9217        363.3881        96.8630
FC(F)(F)C(F)(Cl)Cl                                           -930.4078       -936.7585       -858.5469        377.8211        109.9379
FC(F)(F)C(F)(F)C(F)(F)F                                      -1747.4572      -1757.8265      -1637.6591       425.3443        144.5022
FC(F)(F)C(F)(F)Cl                                            -1126.5986      -1133.7772      -1055.7177       368.1873        104.8418
FC(F)(F)C(F)(F)F                                             -1336.5312      -1344.5613      -1261.9760       342.8635        99.5365
FC(F)(F)C=C                                                  -615.6539       -627.3313       -570.1881        325.7690        83.5830
FC(F)(F)CC(F)(F)F                                            -1391.8977      -1406.3483      -1297.2605       390.3935        120.9212
FC(F)(F)CCl                                                  -739.8456       -750.5489       -684.4092        336.0544        82.1186
FC(F)(F)Cl                                                   -704.0416       -708.9151       -668.5980        286.2437        58.7517
FC(F)(F)F                                                    -927.4719       -933.2389       -888.7079        261.9664        52.8857
FC(F)(F)c1ccccc1                                             -576.9065       -583.2632       -497.8099        384.4563        130.2393
FC(F)=C                                                      -342.2930       -349.3462       -327.2039        270.6862        49.7435
FC(F)=C(Cl)Cl                                                -352.4936       -354.6945       -321.7158        326.7408        78.9217
FC(F)=C(F)Br                                                 -451.4632       -455.2574       -438.0968        334.2211        77.6163
FC(F)=C(F)C(F)(F)F                                           -1142.2405      -1148.3497      -1077.0565       386.4773        114.4608
FC(F)=C(F)C(F)=C(F)F                                         -963.5573       -967.9278       -903.1333        414.0140        130.1299
FC(F)=C(F)Cl                                                 -504.5865       -507.3449       -476.0738        322.3243        75.7293
FC(F)=C(F)F                                                  -668.7647       -672.0962       -637.2388        300.1516        72.2775
FC(F)=C(F)OC(F)(F)F                                          -1313.6836      -1321.9598      -1229.6712       418.6382        129.2390
FC(F)=CCl                                                    -346.3037       -351.0581       -324.7926        303.0568        63.7296
FC(F)=O                                                      -604.4338       -607.4802       -591.9079        258.8821        38.6350
FC(F)Br                                                      -415.6691       -422.9390       -406.1863        293.7930        49.8230
FC(F)C(F)(F)F                                                -1104.1674      -1113.7131      -1042.1188       343.6716        88.0933
FC(F)C(F)C(F)(F)F                                            -1313.0278      -1326.8044      -1220.5866       400.0197        121.1053
FC(F)C(F)F                                                   -869.7670       -880.7742       -813.8988        323.4427        77.3906
FC(F)CC(F)(F)F                                               -1152.5186      -1168.3168      -1067.4624       381.9527        110.1432
FC(F)Cl                                                      -475.3667       -481.5194       -450.5800        281.6408        47.7896
FC(F)F                                                       -689.5290       -696.3862       -661.9356        259.7202        42.3588
FC1CCCCC1                                                    -289.3868       -329.0299       -171.2472        325.3701        107.8294
FC=C                                                         -133.8921       -141.7441       -124.8830        252.3434        41.1245
FC=C(F)F                                                     -491.8067       -496.9899       -470.6349        292.6130        60.8259
FC=O                                                         -380.2852       -383.8784       -375.3659        246.5050        31.5850
FCC(Cl)(Cl)Cl                                                -307.0130       -315.7167       -250.0131        357.8051        93.7375
FCC(F)(F)C(F)F                                               -1079.9529      -1095.0186      -994.8103        384.1199        112.0469
FCC(F)(F)F                                                   -897.1239       -908.2507       -842.1162        325.9275        78.3446
FCC(F)F                                                      -654.6454       -667.1080       -607.4691        311.6583        67.6628
FCC=C                                                        -144.5736       -158.7881       -113.5388        293.5492        63.3157
FCCF                                                         -433.5331       -447.3182       -391.3707        287.9830        58.0606
FCCl                                                         -255.7286       -262.9008       -237.6469        264.6541        38.6852
FCF                                                          -443.6412       -451.2343       -423.5925        246.5010        34.1163
FCl                                                          -56.0518        -56.1496        -57.5807         217.7360        23.5852
FF                                                            3.2784          3.2428          5.1973          196.2366        22.0413
FN(F)F                                                       -128.7474       -134.4321       -92.8959         260.6800        44.4759
FN(F)N(F)F                                                   -17.5552        -27.2087         56.6900         315.7967        77.3572
FNF                                                          -54.4436        -61.0269        -27.8025         252.5019        34.4510
FOF                                                           29.1674         26.8021         44.3623         246.4746        33.7105
FOOF                                                          39.7682         35.2490         73.4082         279.9653        52.2323
FS(F)=S                                                      -319.8520       -323.5254       -331.6643        294.1981        55.0949
FSF                                                          -291.8982       -293.7619       -300.7682        258.3450        36.7941
FSSF                                                         -313.1780       -315.9824       -326.9771        303.7766        60.6505
F[S](F)(=O)=O                                                -750.2775       -758.3339       -712.2897        285.5730        58.6512
F[S](F)=O                                                    -581.9035       -586.6220       -569.6116        280.3727        49.2289
F\C=C\F                                                      -298.3895       -304.7548       -281.7895        267.9258        51.5668
Fc1c(F)c(F)c(Cl)c(F)c1F                                      -807.3202       -796.2384       -721.4878        402.2451        152.3652
Fc1c(F)c(F)c(F)c(F)c1F                                       -962.6613       -959.2546       -886.4161        398.5147        151.6833
Fc1cc(F)c(F)c(F)c1                                           -636.1040       -651.0972       -594.1375        379.6602        127.2344
Fc1cc(F)c(F)c(F)c1F                                          -791.8333       -814.6560       -750.5534        391.7587        139.8021
Fc1cc(F)c(F)cc1F                                             -647.0524       -655.9878       -595.5082        367.8544        125.2438
Fc1cc(F)cc(F)c1                                              -488.8264       -484.1872       -440.6869        388.7471        116.2626
Fc1ccc(F)c(F)c1                                              -466.7770       -486.5466       -434.2830        359.3548        112.5750
Fc1ccc(F)c(F)c1F                                             -626.7098       -638.8438       -580.1469        373.8339        125.6625
Fc1ccc(F)cc1                                                 -295.8397       -318.7358       -275.3405        353.0435        99.3666
Fc1cccc(F)c1                                                 -284.3425       -305.6476       -261.2774        349.7736        99.8891
Fc1ccccc1                                                    -98.3717        -113.4124       -70.5612         318.8123        85.8863
Fc1ccccc1F                                                   -282.2620       -291.2164       -240.4249        328.2363        99.2954
N                                                            -35.5040        -42.5350        -12.8805         192.3634        26.4261
N#CBr                                                         177.7209        177.0298        156.2921        247.2095        38.0493
N#CC#CC#N                                                     487.7973        490.6504        470.8419        281.0083        70.5370
N#CC#N                                                        301.4314        302.9056        292.8533        236.8056        44.3577
N#CC(F)(F)F                                                  -496.3425       -500.0654       -466.3305        298.3255        70.3362
N#CCC#N                                                       257.8009        252.7547        267.7124        289.3419        64.6878
N#CCCC#N                                                      199.9221        188.5662        228.8060        340.9651        85.7461
N#CCc1ccccc1                                                  213.7252        190.2754        256.5886        376.6895        121.4357
N#C\C=C/C#N                                                   309.9526        306.1236        313.4697        320.6112        77.5075
N#C\C=C\C#N                                                   309.9526        306.1236        313.4697        320.6112        77.5075
N#Cc1ccccc1                                                   218.6554        207.7269        247.1718        330.3861        97.4387
N#Cc1cccnc1                                                   285.3490        268.9741        318.0940        322.6609        91.5775
N#N                                                          -1.3411         -1.3665          0.3941          185.7047        20.7945
N(N=Nc1ccccc1)c2ccccc2                                        489.1183        460.7910        631.6703        501.9029        204.9943
N(c1ccccc1)c2ccccc2                                           252.1623        226.1819        357.0828        444.3813        173.5299
N=C=O                                                        -116.6717       -119.6559       -110.4212        238.4916        37.4583
N=C=S                                                         127.7365        125.4324        110.1295        250.2652        42.6841
N=O                                                           108.0114        105.0177        117.8708        220.6155        25.3508
NC(=O)C(F)(F)F                                               -838.3761       -850.6698       -764.5315        355.8238        98.0721
NC(=O)C=C                                                    -113.4687       -128.6824       -62.9932         321.9825        83.2273
NC(=O)c1ccccc1                                               -77.5803        -99.3723        -3.3263          373.8051        124.7085
NC(CCC(O)=O)C(O)=O                                           -779.2481       -813.2658       -623.7412        487.2164        167.7908
NC(Cc1ccccc1)C(O)=O                                          -271.7088       -312.1593       -135.7978        479.8459        183.7275
NC(N)=O                                                      -215.1219       -231.9976       -146.0853        273.1390        64.9178
NC(N)=S                                                       34.5451         18.7461         79.4249         287.2461        71.0684
NC1CC1                                                        102.9026        77.3211         162.8439        283.5602        68.4970
NC1CCCCC1                                                    -55.0884        -101.6708        93.2098         326.0322        118.3136
NC=O                                                         -179.1653       -188.8762       -147.4137        261.0788        46.3828
NCC(F)(F)F                                                   -695.5182       -713.7632       -612.0504        331.6866        89.2397
NCC(O)=O                                                     -374.5608       -393.3432       -299.5336        324.5058        80.8215
NCC=C                                                         79.9263         58.7879         138.9592        301.5090        74.5037
NCCCCC(N)C(O)=O                                              -401.0319       -449.6152       -202.3160        516.5244        190.6106
NCCCCCCN                                                     -40.7052        -92.6384         143.1599        480.6187        169.8538
NCCCCCCO                                                     -231.3249       -279.2746       -60.6733         479.7327        166.4606
NCCCCCN                                                      -26.0575        -71.9317         135.6754        438.7523        147.5445
NCCCN                                                         0.8534         -33.1939         120.4672        346.8480        101.1602
NCCCO                                                        -199.1823       -230.6274       -90.5830         333.9536        94.1729
NCCN                                                          11.9514        -15.9869         109.0811        306.3297        79.2567
NCCNCCN                                                       41.4035        -4.5755          215.3977        422.0013        142.1764
NCCNCCNCCN                                                    70.8557         6.8359          321.7143        537.6729        205.0961
NCCNCCO                                                      -153.3827       -196.0995        8.1627          416.1311        136.7079
NCCO                                                         -174.2410       -198.2702       -90.1836         304.7206        76.2610
NCc1ccccc1                                                    117.1303        88.4221         196.8253        360.4586        117.7242
NN                                                            115.2593        100.7433        168.7541        224.8607        38.1445
NNc1ccccc1                                                    238.1855        217.7656        336.8588        349.3295        115.1367
NO                                                           -30.8946        -41.2766         6.2617          234.9605        35.9395
N[C@@H](Cc1ccccc1)C(O)=O                                     -271.7088       -312.1593       -135.7978        479.8459        183.7275
Nc1cc(Cl)cc(Cl)c1                                             62.9767         19.0450         107.4625        383.4711        130.5680
Nc1ccc(Cl)cc1                                                 71.6193         43.4056         128.8144        347.3623        113.3557
Nc1ccc(N)cc1                                                  129.4009        89.5098         210.8580        341.7663        120.7199
Nc1ccc(Nc2ccccc2)cc1                                          272.1309        230.4560        401.0122        472.5218        197.5391
Nc1ccc(cc1)N=Nc2ccccc2                                        405.7195        363.7362        523.4485        539.3575        209.9144
Nc1ccc(cc1)c2ccc(N)cc2                                        239.2553        191.8300        368.4772        452.0923        201.6967
Nc1ccc(cc1)c2ccccc2                                           225.8034        190.0205        323.5505        435.5632        179.1351
Nc1cccc(N)c1                                                  113.8443        91.0243         210.4151        348.3314        123.4885
Nc1ccccc1                                                     107.9109        88.2717         169.0496        316.6944        98.2645
Nc1ccccc1Cl                                                   86.3351         58.2588         142.7581        350.4128        113.4821
Nc1nc(N)nc(N)n1                                               98.9950         61.0010         248.0712        356.6537        133.5128
O                                                            -237.2186       -240.0973       -226.8087        188.6899        25.1123
O(c1ccccc1)c2ccccc2                                           108.0269        87.9191         202.0219        442.1573        175.8085
O=C(C(=O)c1ccccc1)c1ccccc1                                   -13.4745        -47.2730         75.1220         528.4054        210.1340
O=C(F)Cl                                                     -409.8472       -412.2443       -399.0888        277.1321        44.1537
O=C(O)C(=O)O                                                 -704.4467       -715.1685       -647.8556        326.7114        80.0182
O=C(O)CO                                                     -561.5732       -577.0884       -497.9387        315.1107        76.3321
O=C(O)c1ccccc1                                               -272.1088       -292.2127       -210.6009        363.6525        116.2379
O=C(OCc1ccccc1)c2ccccc2                                      -130.9681       -174.9165       -14.1765         530.4754        219.2610
O=C(c1ccccc1)c2ccccc2                                         87.6448         54.2088         166.6068        453.6153        180.9210
O=C1C=CC(=O)C=C1                                             -103.2146       -125.9435       -73.3817         324.6666        98.8486
O=C1CC1                                                       16.7850         5.6475          39.4395         267.8212        57.7093
O=C1CCC(=O)N1                                                -280.4659       -298.4948       -209.0901        350.7603        94.2232
O=C1CCC(=O)O1                                                -511.6227       -493.9735       -418.0764        337.4999        87.0272
O=C1CCC1                                                     -68.5277        -89.6205        -22.2958         291.7719        71.2432
O=C1CCCC(=O)O1                                               -527.7526       -516.8792       -402.6252        345.2705        104.0803
O=C1CCCC1                                                    -161.5076       -191.6796       -83.0321         289.5946        87.3219
O=C1CCCCC1                                                   -204.9770       -245.7251       -100.9299        304.7744        105.3680
O=C1CCCCCC1                                                  -196.9387       -243.5856       -71.5350         349.7795        126.0965
O=C1CCCCCCC1                                                 -196.8988       -252.2506       -49.4479         383.0566        145.8002
O=C1CCCCCN1                                                  -198.4313       -242.7856       -67.3088         363.0129        124.0340
O=C1CCCCCO1                                                  -365.9421       -399.2183       -236.1908        346.2032        118.2450
O=C1CCCN1                                                    -171.4260       -210.7102       -106.6113        329.5756        84.2161
O=C1CCCO1                                                    -342.4153       -362.9154       -269.4607        306.7114        79.5188
O=C1CCO1                                                     -262.3019       -278.5135       -221.4076        292.2059        62.2375
O=C1OC(=O)C=C1                                               -391.5878       -402.2576       -355.6972        305.2155        77.9560
O=C1OCCO1                                                    -498.8492       -510.7583       -423.7979        294.6532        62.1959
O=C=C=C=O                                                    -95.1191        -93.0972        -99.6535         244.3699        54.0353
O=C=NCCCCCCN=C=O                                             -235.1289       -273.7031       -90.2801         611.5662        202.9999
O=C=Nc1ccccc1                                                 26.8600         11.5301         71.6168         363.7332        113.0550
O=C=O                                                        -396.9884       -397.3982       -398.1881        213.5491        28.4051
O=CC1CCC=CC1                                                 -82.3381        -115.5951        13.6873         362.5447        123.0607
O=CC=O                                                       -211.0643       -216.7106       -196.5820        279.8084        53.6046
O=CCC=O                                                      -243.3889       -254.7518       -210.7779        336.2508        76.3784
O=CCCCC=O                                                    -286.4387       -310.4964       -209.4105        417.5364        120.2313
O=CN1CCOCC1                                                  -291.6750       -333.1008       -166.2120        357.9774        114.7190
O=CNc1ccccc1                                                 -35.2180        -54.3524         39.8399         380.0226        121.2178
O=COCc1ccccc1                                                -229.2018       -261.5834       -153.7658        412.1780        138.5735
O=Cc1ccc(C=O)cc1                                             -118.0998       -148.5449       -77.9875         406.4695        132.9057
O=Cc1ccccc1                                                  -14.6867        -37.2818         18.9561         346.1772        102.7775
O=Cc1occc1                                                   -142.7898       -158.5644       -107.4721        323.8557        88.1673
O=NBr                                                         90.7987         87.4744         87.9011         273.0638        36.8694
O=NCl                                                         56.8441         54.8549         69.3921         261.1669        35.8317
O=NF                                                         -86.3668        -88.8714        -73.1868         247.1743        32.1205
O=NO                                                         -73.2827        -79.6300        -44.3396         247.9404        37.0901
O=O                                                           119.0773        119.0571        123.5581        190.0636        20.9702
O=S                                                           93.1567         93.1471         69.8379         212.8135        21.8028
O=S(=O)(Cl)Cl                                                -339.7695       -345.5532       -302.0980        314.5446        70.0694
O=S(=O)(F)Cl                                                 -543.6110       -550.5691       -507.5036        305.7074        64.4628
O=S(=O)(F)F                                                  -750.2775       -758.3339       -712.2897        285.5730        58.6512
O=S(=O)(O)F                                                  -731.2702       -742.3450       -679.9939        297.4034        67.4785
O=S(=O)(O)O                                                  -700.6820       -713.7878       -637.3340        316.6268        76.6665
O=S(=O)=O                                                    -381.9942       -387.6373       -363.0243        257.2416        42.6307
O=S(F)F                                                      -581.9035       -586.6220       -569.6116        280.3727        49.2289
O=S=O                                                        -289.2398       -291.7707       -293.3712        242.5823        31.4344
O=S=S                                                        -47.0265        -48.9875        -78.9890         267.3135        35.7732
O=[S](=O)=O                                                  -381.9942       -387.6373       -363.0243        257.2416        42.6307
O=[S]1(=O)CCCC1                                              -324.5867       -348.6155       -213.1431        328.5174        107.2726
O=c1occo1                                                    -373.0943       -400.2189       -348.7194        282.9096        62.1825
OBr                                                          -56.8654        -61.3323        -62.3958         247.5970        29.7900
OC(=O)C(Cl)Cl                                                -428.6207       -437.9852       -373.5201        354.1830        87.6080
OC(=O)C(F)(F)F                                               -1017.4774      -1026.7319      -955.5789        347.5198        90.0179
OC(=O)c1ccccc1C=O                                            -382.4528       -409.2934       -313.1391        423.1969        150.5038
OC(CCl)CCl                                                   -304.3828       -325.1867       -217.7094        374.4393        105.3525
OC/C=C/CO                                                    -274.6863       -298.8388       -187.8390        378.5449        111.1223
OC1=CC=CC1                                                   -24.1945        -37.7241         26.7056         307.2218        84.3521
OC1=CCC=C1                                                   -21.8851        -39.8253         27.7789         296.5743        85.5041
OC1C=CC=C1                                                    11.8450        -17.2520         49.9342         297.9762        82.7114
OC1CC1                                                       -91.8552        -110.8164       -41.4444         279.1651        65.4953
OC1CCC1                                                      -111.8122       -139.0715       -36.0164         302.6116        79.7261
OC1CCCC1                                                     -205.6130       -240.6280       -99.6129         311.7130        96.9970
OC1CCCCC1                                                    -244.6299       -289.7990       -111.4258        322.8332        115.3965
OC=O                                                         -355.2157       -362.4074       -334.8038        248.9971        38.0525
OCC#C                                                         65.3884         56.4100         84.4249         287.1974        67.1605
OCC(CO)(CO)CO                                                -729.5808       -769.2648       -545.1527        471.4244        180.0206
OCC(Cl)CCl                                                   -293.9250       -314.5523       -207.2314        374.9640        105.2145
OCC(O)C(O)C(O)C(O)CO                                         -1108.1157      -1162.0797      -849.7625        517.1631        219.4090
OCC(O)CCl                                                    -427.0624       -451.4922       -325.5721        368.9618        108.6035
OCC(O)CO                                                     -551.3119       -580.1222       -433.9340        357.3624        108.6663
OCC1CCCO1                                                    -335.4411       -377.5109       -220.1581        359.4962        110.2681
OCC1CO1                                                      -209.3873       -237.7056       -144.8855        303.1001        74.4955
OCC=O                                                        -292.4244       -304.4535       -252.6544        304.2650        65.1776
OCCC#N                                                       -77.3157        -92.5628        -26.8911         322.0409        80.7127
OCCCCCCO                                                     -421.9447       -465.9108       -264.5065        478.8467        163.0673
OCCCCCO                                                      -407.2969       -445.2041       -271.9909        436.9803        140.7580
OCCCCO                                                       -392.6491       -424.4974       -279.4754        395.1139        118.4487
OCCCCl                                                       -259.0233       -281.6958       -180.6251        349.7275        91.9679
OCCCO                                                        -381.4635       -408.8047       -286.1025        333.5548        92.0851
OCCCc1ccccc1                                                 -101.5289       -141.4220        3.7924          451.2686        159.0294
OCCCl                                                        -246.1277       -262.8903       -189.9937        307.8036        69.0896
OCCN(CCO)CCO                                                 -523.3260       -577.0281       -304.7098        504.7250        190.9623
OCCN1CCNCC1                                                  -108.5272       -168.5672        82.6793         400.7052        150.1315
OCCNCCO                                                      -348.1690       -387.6235       -199.0722        410.2610        131.2394
OCCO                                                         -368.4903       -388.8301       -297.2309        301.4549        72.3489
OCCOC(=O)C=C                                                 -457.8519       -484.3498       -355.1432        425.7990        134.6703
OCCOCCO                                                      -512.1043       -546.6961       -377.6721        417.1907        130.1390
OCCOCCOCCO                                                   -655.7183       -704.5620       -458.1132        532.9266        187.9292
OCCOCCOCCOCCO                                                -799.3324       -862.4279       -538.5543        648.6625        245.7193
OCCS                                                         -183.8505       -203.2901       -136.7262        314.8977        78.4743
OCCSCCO                                                      -345.2716       -376.3037       -237.0789        446.6117        143.8374
OCCc1ccccc1                                                  -85.2033        -118.9578       -0.5578          404.7844        137.5987
OC[C@@H]1CCCO1                                               -335.4411       -377.5109       -220.1581        359.4962        110.2681
OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O -1878.8379      -1973.9490      -1385.8405       662.2145        375.0627
OC\C=C/CO                                                    -274.6863       -298.8388       -187.8390        378.5449        111.1223
OCc1ccccc1                                                   -71.5236        -101.9874       -9.3744          354.8545        114.9209
OCc1occc1                                                    -197.3728       -215.5697       -130.4525        340.4155        99.6214
OCl                                                          -71.3152        -74.2764        -61.4604         236.4751        28.7775
OF                                                           -82.3088        -85.2419        -72.3970         226.2337        26.9115
ON=O                                                         -73.2827        -79.6300        -44.3396         247.9404        37.0901
OO                                                           -126.3870       -132.5668       -98.5265         221.6682        34.8308
O[Cl](=O)(=O)=O                                               17.6756         6.7459          92.3428         300.1069        66.6636
O[S](O)(=O)=O                                                -700.6820       -713.7878       -637.3340        316.6268        76.6665
Oc1c(F)c(F)c(F)c(F)c1F                                       -976.2885       -965.1929       -878.1233        417.3073        156.5528
Oc1ccc(C=C)cc1                                               -0.4349         -24.5906         64.0095         374.0537        130.3023
Oc1ccc(C=O)cc1                                               -175.7592       -205.6915       -128.0194        376.8665        121.9985
Oc1ccc(Cl)cc1                                                -115.5163       -137.6245       -70.8895         351.4298        109.1749
Oc1ccc(O)cc1                                                 -246.2428       -263.5067       -175.1431        335.2672        112.0794
Oc1cccc(Cl)c1                                                -100.4725       -121.6553       -54.7965         351.0146        109.5454
