Smiles                                                       TCIT_Cv    G4_Cv      Dev       
Fc1c(F)c(F)c(F)c(F)c1F                                       151.68     148.44     3.24      
Fc1cc(F)c(F)c(F)c1F                                          139.80     135.09     4.71      
Fc1ccccc1                                                    85.89      85.00      0.89      
Fc1ccccc1F                                                   99.30      97.23      2.06      
N#CC#CC#N                                                    70.54      71.49      -0.95     
N#CCCC#N                                                     85.75      86.66      -0.92     
N#C\C=C/C#N                                                  77.51      77.76      -0.25     
N#C\C=C\C#N                                                  77.51      77.76      -0.25     
N#Cc1ccccc1                                                  97.44      97.89      -0.45     
NC(Cc1ccccc1)C(O)=O                                          183.73     182.13     1.59      
NC1CC1                                                       68.50      67.45      1.04      
NC1CCCCC1                                                    118.31     118.31     -0.00     
NCc1ccccc1                                                   117.72     117.37     0.35      
NNc1ccccc1                                                   115.14     116.21     -1.08     
N[C@@H](Cc1ccccc1)C(O)=O                                     183.73     182.13     1.59      
Nc1cccc(N)c1                                                 123.49     122.67     0.81      
Nc1ccccc1                                                    98.26      97.75      0.51      
O=C(O)c1ccccc1                                               116.24     116.84     -0.60     
O=C1C=CC(=O)C=C1                                             98.85      98.33      0.52      
O=C1CC1                                                      57.71      57.35      0.36      
O=C1CCC1                                                     71.24      72.28      -1.04     
O=C1CCCC1                                                    87.32      87.51      -0.19     
O=C1CCCCC1                                                   105.37     105.16     0.20      
O=C1CCCCCC1                                                  126.10     125.36     0.74      
O=C1CCCCCCC1                                                 145.80     144.76     1.04      
O=C1CCCCCN1                                                  124.03     122.56     1.48      
O=C1CCCN1                                                    84.22      83.66      0.56      
O=C1CCCO1                                                    79.52      78.17      1.35      
O=C1CCO1                                                     62.24      61.42      0.82      
O=C1OC(=O)C=C1                                               77.96      78.17      -0.21     
O=C1OCCO1                                                    62.20      69.67      -7.47     
O=Cc1ccccc1                                                  102.78     102.73     0.05      
O=Cc1occc1                                                   88.17      85.97      2.20      
O=c1occo1                                                    62.18      64.03      -1.85     
OC1=CC=CC1                                                   84.35      84.70      -0.34     
OC1=CCC=C1                                                   85.50      84.41      1.09      
OC1CC1                                                       65.50      64.62      0.87      
OC1CCCC1                                                     97.00      96.42      0.58      
OC1CCCCC1                                                    115.40     115.44     -0.05     
OCC1CCCO1                                                    110.27     110.44     -0.17     
OCCCCCCO                                                     163.07     163.13     -0.06     
OCCCCCO                                                      140.76     140.80     -0.05     
OCCCCO                                                       118.45     118.41     0.04      
OCCOCCOCCO                                                   187.93     190.86     -2.93     
OC[C@@H]1CCCO1                                               110.27     110.44     -0.17     
OCc1ccccc1                                                   114.92     114.01     0.91      
OCc1occc1                                                    99.62      98.50      1.12      
Oc1c(F)c(F)c(F)c(F)c1F                                       156.55     155.08     1.47      
Oc1ccc(Cl)cc1                                                109.17     108.21     0.96      
Oc1ccc(O)cc1                                                 112.08     112.41     -0.33     
Oc1cccc(Cl)c1                                                109.55     108.15     1.39      
Oc1cccc(O)c1                                                 115.01     111.67     3.34      
Oc1ccccc1                                                    92.44      92.17      0.27      
Oc1ccccc1O                                                   115.10     111.72     3.38      
SC1CCCCC1                                                    121.31     121.89     -0.58     
SCc1ccccc1                                                   122.41     120.87     1.53      
Sc1ccccc1                                                    99.89      99.24      0.65      
