Smiles                                                       TCIT_Gf    G4_Gf      Dev       
C[C@H]1CCCC[C@@H]1C                                          49.45      41.11      8.34      
C[C@H]1CCCC[C@H]1C                                           49.45      41.11      8.34      
C[C@H]1CCC[C@@H](C)C1                                        39.80      29.24      10.55     
C[C@H]1CCC[C@@H](O)C1                                        -112.02    -115.03    3.01      
C[C@H]1CCC[C@@H]1C                                           53.46      41.89      11.57     
C[C@H]1CCC[C@H](C)C1                                         39.80      29.24      10.55     
C[C@H]1CCC[C@H]1C                                            53.46      41.23      12.23     
C[C@H]1CC[C@@H](C)CC1                                        37.39      31.34      6.05      
C[C@H]1CC[C@H](C)C1                                          49.15      41.61      7.54      
C[C@H]1CC[C@H](C)CC1                                         37.39      31.33      6.07      
C[C@H]1CC[C@H]1C                                             107.60     106.71     0.89      
C[C@H]1C[C@H](C)[C@@H](C)C1                                  52.76      43.20      9.56      
C\C=C/C=C\C                                                  142.35     146.51     -4.16     
Cc1c(C)c(C)c(C)c(C)c1C                                       134.85     147.68     -12.83    
Cc1c(F)c(F)c(F)c(F)c1F                                       -742.78    -746.90    4.12      
Cc1cc(C)c(C)c(C)c1                                           117.36     115.22     2.14      
Cc1cc(C)c(C)c(C)c1C                                          122.85     127.85     -5.00     
Cc1cc(C)c(C)cc1C                                             111.90     118.21     -6.31     
Cc1cc(C)cc(C)c1                                              111.80     106.88     4.92      
Cc1cc(C)cc(O)c1                                              -42.97     -42.77     -0.20     
Cc1cc(C)nc(C)c1                                              156.88     150.20     6.68      
Cc1ccc(Br)cc1                                                115.07     124.35     -9.28     
Cc1ccc(C)c(C)c1                                              111.77     112.43     -0.66     
Cc1ccc(C)c(C)c1C                                             126.11     126.17     -0.06     
Cc1ccc(C)c(O)c1                                              -44.53     -38.72     -5.81     
Cc1ccc(C)cc1                                                 109.71     109.79     -0.08     
Cc1ccc(Cl)cc1                                                70.03      88.29      -18.26    
Cc1ccc(Cl)cc1C                                               82.85      89.34      -6.49     
Cc1ccc(F)cc1                                                 -80.25     -72.98     -7.26     
Cc1ccc(N)cc1                                                 157.89     163.54     -5.64     
Cc1ccc(O)c(C)c1                                              -36.79     -37.26     0.48      
Cc1ccc(O)cc1                                                 -33.59     -33.44     -0.15     
Cc1ccc(O)cc1C                                                -41.43     -31.14     -10.29    
Cc1cccc(C)c1                                                 118.33     111.40     6.92      
Cc1cccc(C)c1C                                                119.76     121.28     -1.52     
Cc1cccc(C)c1O                                                -37.74     -36.76     -0.98     
Cc1cccc(C)n1                                                 165.60     162.23     3.37      
Cc1cccc(Cl)c1                                                88.94      89.16      -0.23     
Cc1cccc(Cl)c1C                                               84.23      90.68      -6.45     
Cc1cccc(F)c1                                                 -75.01     -76.02     1.00      
Cc1cccc(N)c1                                                 165.53     161.72     3.81      
Cc1cccc(O)c1                                                 -33.55     -34.59     1.04      
